Name,Date,Latitude,Longitude,Country,Country Code,Ocean,Chlorophyll,Sea Surface Temperature,Shark_Presence
Whitetip Reef Shark,30-03-2015,10.052329,125.139267,Philippines,PH,Visayan Sea,0.2731343525267705,27.110000000000014,1
White Shark,19-05-2015,33.644793,-118.009955,United States of America,US,Pacific Ocean,1.5399580817051717,16.906000000000006,1
,05-12-2007,-27.227435546740388,-45.855189204524365,International Waters,NA,Atlantic Ocean,0.2121924746746959,26.123076169887142,0
,13-08-2008,9.234694111487897,-39.3961312753588,International Waters,NA,Atlantic Ocean,0.4156790005898976,20.368087622049327,0
Blacktip Reef Shark,15-04-2014,9.451144,97.877602,Thailand,TH,Andaman Sea,0.2991641980135831,30.274999999999977,1
,18-08-2011,12.31324389839876,-142.08270133184462,International Waters,NA,Pacific Ocean,0.22448755773821075,10.076369593931105,0
,15-09-2007,35.413259720108314,-35.12789695617646,International Waters,NA,Atlantic Ocean,0.0733817115279088,21.71811905859171,0
Bluespotted Fantail Ray,14-08-2012,-27.45192,32.7121,South Africa,ZA,Indian Ocean,0.5244429615642415,20.779999999999973,1
,09-07-2014,33.12912514628539,-40.470119110762255,International Waters,NA,Atlantic Ocean,0.10232412270384855,14.802753574385292,0
,09-11-2010,-30.68219195175658,61.27842031002276,International Waters,NA,Indian Ocean,0.2880045571874735,14.994668738198014,0
Whitespotted Eagle Ray,26-07-2014,21.352222,-158.131627,United States of America,US,Pacific Ocean,0.0499368928110078,27.18599999999998,1
Whitetip Reef Shark,07-06-2015,-18.356164,178.181493,Fiji,FJ,Pacific Ocean,0.3481756869175308,25.295999999999992,1
Bluespotted Fantail Ray,10-06-2013,-27.5277,32.6849,South Africa,ZA,Indian Ocean,0.8020232597084556,23.225000000000023,1
,07-08-2005,27.716259525949127,-35.53124908800251,International Waters,NA,Atlantic Ocean,0.07566593549442201,14.592367419942864,0
,15-09-2007,13.281743413839422,-123.28378911930037,International Waters,NA,Pacific Ocean,0.06929842838502401,29.72405594271487,0
,23-10-2006,-6.564296561450227,71.89955765060631,International Waters,NA,Indian Ocean,0.3707545490495937,18.05971308175765,0
Whitetip Reef Shark,04-06-2015,-27.5204,32.69008,South Africa,ZA,Indian Ocean,0.3276747012785158,26.303999999999974,1
,12-12-2009,-27.586953613782867,-32.87112815674032,International Waters,NA,Atlantic Ocean,0.3596632098067599,29.15576534527719,0
Blacktip Reef Shark,05-04-2015,-16.757393,145.972537,Australia,AU,Coral Sea,0.629165424189328,26.757000000000005,1
Port Jackson Shark,08-03-2015,-31.844064,115.744781,Australia,AU,Indian Ocean,0.8652296123857874,17.997000000000014,1
,03-05-2005,-8.287471075541788,-31.67139555529061,International Waters,NA,Atlantic Ocean,0.47827872185556414,16.867158441839244,0
,08-07-2010,-7.93455262851613,-122.13884744672302,International Waters,NA,Pacific Ocean,0.32892984944972586,18.391010081255608,0
,31-08-2009,-29.100244948793012,-161.72954440669733,International Waters,NA,Pacific Ocean,0.24869860912988256,14.977800220981079,0
,11-02-2012,-14.047502734266573,-48.56454727115863,International Waters,NA,Atlantic Ocean,0.46289447246650767,26.415970284551744,0
,12-11-2005,-23.537411345767374,66.00184923257541,International Waters,NA,Indian Ocean,0.23789891174671857,24.570739170625764,0
Gulf Wobbegong,23-05-2014,-32.628713,152.315686,Australia,AU,Pacific Ocean,0.9193627504912356,22.355999999999995,1
Whitetip Reef Shark,13-01-2015,-0.336182,73.297151,Maldives,MV,Indian Ocean,0.1897768142841356,28.65100000000001,1
Grey Reef Shark,16-12-2012,-23.127963,113.769541,Australia,AU,Indian Ocean,1.0699801624128258,25.264999999999983,1
Greynurse Shark,20-11-2010,-32.618339,152.335384,Australia,AU,Pacific Ocean,0.8393703232538986,19.865999999999985,1
,12-05-2007,-9.658563855062656,-52.01645853714887,International Waters,NA,Atlantic Ocean,0.20182186175500322,19.255861784209266,0
,27-04-2008,35.72192464397767,-145.59736687169436,International Waters,NA,Pacific Ocean,0.29736008794626556,27.354663668713943,0
,05-12-2007,-13.629117708811307,77.80108759032407,International Waters,NA,Indian Ocean,0.13904287582729133,19.477923048089185,0
Whitetip Reef Shark,14-02-2013,-27.5226,32.68645,South Africa,ZA,Indian Ocean,0.1606073615240355,27.40100000000001,1
,18-01-2007,-24.89690346859614,79.67230079118582,International Waters,NA,Indian Ocean,0.26879620239442026,20.662261796802827,0
,25-08-2007,-37.17614943255913,-133.54060712173532,International Waters,NA,Pacific Ocean,0.35951282225167097,24.254979718484005,0
Whitetip Reef Shark,27-05-2015,-18.432715,178.140735,Fiji,FJ,Pacific Ocean,0.201650211067826,26.07299999999998,1
,15-05-2015,10.333899025952647,-55.44357274563574,International Waters,NA,Atlantic Ocean,0.04166254532855657,24.200499127541555,0
,25-05-2015,50.772901,-1.165788,United Kingdom of Great Britain and Northern Ireland,GB,English Channel,7.020970075560537,13.932999999999993,1
Bronze Whaler Sharks,29-03-2015,-38.333414,144.755142,Australia,AU,-none-,1.9930578159132024,17.980000000000018,1
,27-10-2014,26.192028,-80.096433,United States of America,US,Atlantic Ocean,0.4371511996048712,25.264999999999983,1
Lemon Shark,04-09-2010,-22.294686,113.822274,Australia,AU,Indian Ocean,0.5572547641891024,25.264999999999983,1
,09-07-2013,12.14959103395082,-156.83756858703632,International Waters,NA,Pacific Ocean,0.21114019678063406,17.95545817790316,0
Whitetip Reef Shark,18-11-2014,-16.424743,145.987652,Australia,AU,Pacific Ocean,0.1759133263938538,26.721000000000004,1
,14-12-2005,-14.857589296041724,66.09075784165198,International Waters,NA,Indian Ocean,0.45900276024618075,15.989761889545935,0
,01-06-2011,18.42277210980118,-145.4118069323097,International Waters,NA,Pacific Ocean,0.40047264289140694,10.73675354001481,0
,21-04-2012,-24.609205925414656,-126.25055844013559,International Waters,NA,Pacific Ocean,0.10661434819073193,28.783122033299648,0
,07-05-2010,-15.752780161715485,87.7500464026344,International Waters,NA,Indian Ocean,0.3662625015633652,24.499588850359014,0
,13-08-2006,-38.02701180674776,61.23282064121251,International Waters,NA,Indian Ocean,0.3397547067231544,10.9832489103641,0
Bluespotted Maskray,03-04-2015,-28.611667,153.628611,Australia,AU,-none-,0.8652296123857874,26.48399999999998,1
Bluespotted Fantail Ray,10-06-2015,-18.293833,178.077466,Fiji,FJ,Pacific Ocean,0.5921194390429692,24.754999999999995,1
Porcupine Ray,24-05-2015,-18.423073,178.134243,Fiji,FJ,Pacific Ocean,0.201650211067826,25.81200000000001,1
Manta Ray,21-06-2012,-27.556459,32.667302,South Africa,ZA,Indian Ocean,0.3083808372966505,25.264999999999983,1
Lesser Devilray,19-02-2013,-27.531889,32.70816,South Africa,ZA,Indian Ocean,0.1606073615240355,27.970000000000027,1
Whitetip Reef Shark,27-05-2015,-18.434995,178.13095,Fiji,FJ,Pacific Ocean,0.201650211067826,26.081000000000017,1
Grey Reef Shark,01-06-2012,-27.532,32.6867,South Africa,ZA,Indian Ocean,0.3083808372966505,27.50999999999999,1
Grey Reef Shark,20-06-2015,-18.300304,178.017681,Fiji,FJ,Pacific Ocean,0.5921194390429692,25.050999999999988,1
Bluespotted Fantail Ray,23-02-2015,-8.349311,116.024958,Indonesia,ID,Indian Ocean,0.2902230182578287,29.108000000000004,1
,28-02-2012,-3.092547267938116,61.041271371854045,International Waters,NA,Indian Ocean,0.17439221935936555,10.03325892669112,0
